method,task,unit,rmse,crps
LMC block MLE,random_holdout,13,0.35527276204075336,0.17703432687814905
LMC block MLE,random_holdout,14,0.3715664684176154,0.18311831994467387
LMC block MLE,random_holdout,15,0.355344842813808,0.17709723483024403
LMC block MLE,random_holdout,16,0.35767980449066483,0.1755920356381903
LMC block MLE,random_holdout,17,0.36232699599204493,0.1786522113826884
LMC block MLE,random_holdout,18,0.36310799684932954,0.17926566958047674
LMC block MLE,random_holdout,19,0.3651963970304999,0.17857216289760067
LMC block MLE,random_holdout,2,0.36680901212606265,0.18103374278976714
LMC block MLE,random_holdout,3,0.35430601330610706,0.1744406849911157
LMC block MLE,random_holdout,4,0.3604785073491857,0.17638630095707428
LMC block MLE,random_holdout,5,0.36135034096983704,0.17898959470109108
LMC block MLE,random_holdout,6,0.3611022730328448,0.177140757774904
LMC block MLE,random_holdout,7,0.35978424721314306,0.1760154772786312
LMC block MLE,random_holdout,8,0.36101391619487494,0.17741476421474986
LMC block MLE,random_holdout,9,0.36070572207121,0.17821959096680062
LMC block MLE,station_holdout,0,0.7829222417613568,0.43238095635614665
LMC block MLE,station_holdout,1,0.7772596773893086,0.4270321227649021
LMC block MLE,station_holdout,10,0.8169705945409389,0.43264718557723236
LMC block MLE,station_holdout,11,0.7897272165419007,0.4236100026154323
LMC block MLE,station_holdout,12,0.7993974404659516,0.4325725285650838
LMC block MLE,station_holdout,13,0.7937069748506027,0.4270790118944541
LMC block MLE,station_holdout,14,0.8027319122773707,0.42959787048327014
LMC block MLE,station_holdout,15,0.7932286522116755,0.43045468816768856
LMC block MLE,station_holdout,16,0.7996216440662829,0.4341534389541019
LMC block MLE,station_holdout,17,0.7648081686719709,0.42428221843849606
LMC block MLE,station_holdout,18,0.7449064007996079,0.4144409889596718
LMC block MLE,station_holdout,19,0.7646099004907743,0.4233075338091517
LMC block MLE,station_holdout,2,0.8144811176823047,0.4433840039134832
LMC block MLE,station_holdout,3,0.8196724937009677,0.43810444184850306
LMC block MLE,station_holdout,4,0.7655881529017899,0.4205736540449667
LMC block MLE,station_holdout,5,0.7720261999308354,0.41823222060399684
LMC block MLE,station_holdout,6,0.8033234724411441,0.4406528081708156
LMC block MLE,station_holdout,7,0.813054175219041,0.4318926282929783
LMC block MLE,station_holdout,8,0.79852003121778,0.4326858564063689
LMC block MLE,station_holdout,9,0.8245971868788193,0.43780346491631583
LMC semivariogram,period_holdout,T=0.01,0.08277871664343225,0.040562637304064966
LMC semivariogram,period_holdout,T=0.03,0.07634846438783915,0.03686550513787204
LMC semivariogram,period_holdout,T=0.06,0.21333412665305984,0.1100044825055644
LMC semivariogram,period_holdout,T=0.1,0.3531784929344194,0.19393746228795739
LMC semivariogram,period_holdout,T=0.3,0.46732181248510957,0.26245911090882584
LMC semivariogram,period_holdout,T=0.6,0.43757909307870624,0.24511459588130255
LMC semivariogram,period_holdout,T=1,0.4991819387592444,0.2800100136170936
LMC semivariogram,period_holdout,T=3,0.574077791163829,0.3238435977379802
LMC semivariogram,period_holdout,T=6,0.6968629796056126,0.39361816124377247
LMC semivariogram,random_holdout,0,0.37232157466803284,0.18313301231922818
LMC semivariogram,random_holdout,1,0.37149927586573456,0.18351604131602683
LMC semivariogram,random_holdout,10,0.36417623394727133,0.1801530347285118
LMC semivariogram,random_holdout,11,0.3633409508984939,0.1786382171253771
LMC semivariogram,random_holdout,12,0.37056031095562464,0.18171012787844262
LMC semivariogram,random_holdout,13,0.36035298238902896,0.18016537098678334
LMC semivariogram,random_holdout,14,0.37708689755861935,0.18601267263765478
LMC semivariogram,random_holdout,15,0.3596094762647521,0.1797799380875211
LMC semivariogram,random_holdout,16,0.3648240847544529,0.17945728494694313
