recid,eqid,station_latitude,station_longitude,scaled_deltaW
330,76,35.697,-120.328,1.2657163780173395
331,76,35.684,-120.342,1.1203826909837795
332,76,35.671,-120.359,0.7656483957288879
334,76,35.872,-120.422,-0.1845590524898474
335,76,35.896,-120.398,-0.5387969424351473
336,76,35.899,-120.433,-0.3847953631193618
337,76,35.908,-120.458,1.4328073728390027
338,76,35.921,-120.481,0.5078203807461159
339,76,35.927,-120.456,0.5136010249787747
340,76,35.787,-120.334,0.6037463978074777
341,76,35.803,-120.334,0.8622586623464117
342,76,35.836,-120.395,-0.4052889787571813
343,76,35.859,-120.42,-1.5818758619682882
344,76,35.871,-120.404,-0.0345251638511192
345,76,35.878,-120.381,0.0419385807865187
346,76,35.879,-120.445,-1.5824199678861504
347,76,35.818,-120.378,-0.3190125183384862
348,76,35.843,-120.348,-0.4167932344947601
349,76,35.812,-120.391,-0.3508258949779593
350,76,35.87,-120.334,-0.2734303903486674
351,76,35.796,-120.411,1.2537826621610453
352,76,35.785,-120.444,0.0511644865100662
353,76,35.77,-120.477,-0.1113779197998299
354,76,35.738,-120.507,-0.4533257802028714
355,76,35.81,-120.282,0.0135049523010364
356,76,35.833,-120.27,0.8465705510561633
357,76,35.855,-120.281,-0.7420660419813672
358,76,35.957,-120.481,0.567672618179482
359,76,35.934,-120.497,-0.8532643942550968
361,76,35.927,-120.509,-0.5605362980139008
362,76,35.922,-120.534,0.1126598337279064
363,76,35.905,-120.55,-1.3468098194954552
365,76,35.861,-120.6,-0.4335739138874497
368,76,36.034,-120.59,0.8610672157825872
588,113,34.07,-118.15,0.7342997909551834
589,113,34.177,-118.096,0.2488694394076824
590,113,33.817,-117.951,-1.5161588969202602
591,113,34.13,-118.036,0.423756650663842
592,113,34.236,-118.439,-0.0022483839632443
593,113,34.1,-117.974,-0.96374424436179
594,113,33.965,-118.158,0.2194951677705907
595,113,34.127,-118.405,0.4021431690221616
596,113,34.132,-118.439,0.316107253414407
597,113,34.286,-118.225,1.0613122946346545
598,113,33.916,-117.896,-0.6537684366699279
599,113,33.89,-117.927,1.2854714442844135
600,113,33.8904,-117.9258,-0.0063237708063248
601,113,34.168,-118.331,0.7120699068907976
602,113,34.15,-118.696,-0.3962174260602067
603,113,34.212,-118.606,1.369936956876099
604,113,34.419,-118.426,1.1206106921826045
605,113,33.9121,-117.838,0.5404664981168967
606,113,33.812,-118.27,-1.4882767703380693
608,113,34.459,-118.65,-0.0074311454403195
609,113,34.564,-118.642,1.411722093057704
610,113,33.899,-118.196,1.4780591075152778
611,113,34.078,-117.871,-1.8164421605801744
612,113,34.087,-117.915,-1.255413051868527
613,113,33.92,-118.137,1.2119385400231837
614,113,33.924,-118.167,0.0715356652945611
615,113,34.093,-118.019,-0.3444887638049762
616,113,33.869,-117.709,0.1600647037147965
617,113,33.719,-117.937,-0.5523381194169708
618,113,34.049,-118.112,1.2492011457886076
619,113,34.2,-118.231,0.8705645098295375
620,113,34.137,-117.883,-0.8115096342865418
621,113,33.99,-117.943,-0.0920792498576421
622,113,33.729,-116.979,0.8525148709659113
623,113,33.662,-117.997,-0.8522037125370111
624,113,33.905,-118.279,1.1968231968808951
625,113,33.929,-118.26,1.4002066112057676
626,113,34.009,-118.361,0.254652152448007
627,113,34.001,-118.431,-1.165668832425057
628,113,34.063,-118.418,-0.4972247851827303
629,113,34.062,-118.416,-1.261435840632834
630,113,34.086,-118.481,-1.4470320067076634
631,113,34.088,-118.222,-0.7295345678952899
632,113,34.004,-118.23,-0.5145092460515015
633,113,34.115,-118.244,0.1426198762248483
634,113,34.09,-118.339,0.082474391650183
635,113,34.089,-118.435,-1.4495322048208432
636,113,34.111,-118.189,-0.5923911757269582
637,113,34.082,-118.298,0.4668687472694319
638,113,34.037,-118.178,1.1126529627924675
639,113,34.005,-118.279,0.0951450596373041
