display_name,model,n_events,rep,rmse
Pairwise empirical semivariogram,pairwise,60,27,0.0227088884163654
Pairwise empirical semivariogram,pairwise,60,28,0.0381082715930201
Pairwise empirical semivariogram,pairwise,60,29,0.0357800873182909
Pairwise empirical semivariogram,pairwise,60,30,0.0345140022127872
Pairwise empirical semivariogram,pairwise,60,31,0.0476885281141147
Pairwise empirical semivariogram,pairwise,60,32,0.0454823257824185
Pairwise empirical semivariogram,pairwise,60,33,0.0324454492240167
Pairwise empirical semivariogram,pairwise,60,34,0.0234212562293739
Pairwise empirical semivariogram,pairwise,60,35,0.0323055758316724
Pairwise empirical semivariogram,pairwise,60,36,0.0346385892860525
Pairwise empirical semivariogram,pairwise,60,37,0.0166123572918352
Pairwise empirical semivariogram,pairwise,60,38,0.0288360498055349
Pairwise empirical semivariogram,pairwise,60,39,0.0273446216745502
Pairwise empirical semivariogram,pairwise,60,40,0.0541584932031077
Pairwise empirical semivariogram,pairwise,60,41,0.0294101738558746
Pairwise empirical semivariogram,pairwise,60,42,0.0198137288059676
Pairwise empirical semivariogram,pairwise,60,43,0.0238988815321129
Pairwise empirical semivariogram,pairwise,60,44,0.0129951060859894
Pairwise empirical semivariogram,pairwise,60,45,0.0401353031604175
Pairwise empirical semivariogram,pairwise,60,46,0.0378578823803778
Pairwise empirical semivariogram,pairwise,60,47,0.0361808374386256
Pairwise empirical semivariogram,pairwise,60,48,0.0282851190597799
Pairwise empirical semivariogram,pairwise,60,49,0.0418280143758636
Pairwise empirical semivariogram,pairwise,60,50,0.0283869978638679
Pairwise empirical semivariogram,pairwise,60,51,0.0248469240151777
Pairwise empirical semivariogram,pairwise,60,52,0.0513179276420056
Pairwise empirical semivariogram,pairwise,60,53,0.0258035520778152
Pairwise empirical semivariogram,pairwise,60,54,0.0398023409727195
Pairwise empirical semivariogram,pairwise,60,55,0.0293789125027353
Pairwise empirical semivariogram,pairwise,60,56,0.0208108676381312
Pairwise empirical semivariogram,pairwise,60,57,0.0211742955832004
Pairwise empirical semivariogram,pairwise,60,58,0.0436858060507255
Pairwise empirical semivariogram,pairwise,60,59,0.0296556426811332
Pairwise empirical semivariogram,pairwise,60,60,0.0336048804648461
Pairwise empirical semivariogram,pairwise,60,61,0.0359103410425601
Pairwise empirical semivariogram,pairwise,60,62,0.0374352398581353
Pairwise empirical semivariogram,pairwise,60,63,0.0469461338226766
Pairwise empirical semivariogram,pairwise,60,64,0.0428161234876357
Pairwise empirical semivariogram,pairwise,60,65,0.0328614787212109
Pairwise empirical semivariogram,pairwise,60,66,0.0326345267597319
Pairwise empirical semivariogram,pairwise,60,67,0.0397386076620386
Pairwise empirical semivariogram,pairwise,60,68,0.0160624136471042
Pairwise empirical semivariogram,pairwise,60,69,0.0145348065916402
Pairwise empirical semivariogram,pairwise,60,70,0.0183658560662173
Pairwise empirical semivariogram,pairwise,60,71,0.0397918116064825
Pairwise empirical semivariogram,pairwise,60,72,0.0262071064863282
Pairwise empirical semivariogram,pairwise,60,73,0.0214438384835709
Pairwise empirical semivariogram,pairwise,60,74,0.0183328175953372
Pairwise empirical semivariogram,pairwise,60,75,0.0217701045858533
Pairwise empirical semivariogram,pairwise,60,76,0.0612498391833931
Pairwise empirical semivariogram,pairwise,60,77,0.0341988212959208
Pairwise empirical semivariogram,pairwise,60,78,0.0176167883612879
Pairwise empirical semivariogram,pairwise,60,79,0.0244088952139107
Pairwise empirical semivariogram,pairwise,60,80,0.0231795947801841
Pairwise empirical semivariogram,pairwise,60,81,0.0244510379517723
Pairwise empirical semivariogram,pairwise,60,82,0.0208125038895895
Pairwise empirical semivariogram,pairwise,60,83,0.0253381350785466
Pairwise empirical semivariogram,pairwise,60,84,0.0374464656178097
Pairwise empirical semivariogram,pairwise,60,85,0.0354317745336495
Pairwise empirical semivariogram,pairwise,60,86,0.030122777616864
Pairwise empirical semivariogram,pairwise,60,87,0.0330627345305564
Pairwise empirical semivariogram,pairwise,60,88,0.0701628333269065
Pairwise empirical semivariogram,pairwise,60,89,0.0252576568981008
Pairwise empirical semivariogram,pairwise,60,90,0.046041276133435
Pairwise empirical semivariogram,pairwise,60,91,0.0726017422597044
Pairwise empirical semivariogram,pairwise,60,92,0.042892640795886
Pairwise empirical semivariogram,pairwise,60,93,0.0385575456182428
Pairwise empirical semivariogram,pairwise,60,94,0.027564911320357
Pairwise empirical semivariogram,pairwise,60,95,0.04395378515221
Pairwise empirical semivariogram,pairwise,60,96,0.0134742865568855
Pairwise empirical semivariogram,pairwise,80,0,0.0167831709100658
Pairwise empirical semivariogram,pairwise,80,1,0.0191539240228163
Pairwise empirical semivariogram,pairwise,80,2,0.0115232944549555
Pairwise empirical semivariogram,pairwise,80,3,0.0143942958974105
Pairwise empirical semivariogram,pairwise,80,4,0.0201101229363414
Pairwise empirical semivariogram,pairwise,80,5,0.0131674955829
Pairwise empirical semivariogram,pairwise,80,6,0.0215468419562867
Pairwise empirical semivariogram,pairwise,80,7,0.0255925642813254
Pairwise empirical semivariogram,pairwise,80,8,0.0203138642630343
Pairwise empirical semivariogram,pairwise,80,9,0.023896660350111
Pairwise empirical semivariogram,pairwise,80,10,0.0334348179138499
Pairwise empirical semivariogram,pairwise,80,11,0.018547794297298
Pairwise empirical semivariogram,pairwise,80,12,0.01356759330434
Pairwise empirical semivariogram,pairwise,80,13,0.0156649569422609
Pairwise empirical semivariogram,pairwise,80,14,0.0269741770439935
Pairwise empirical semivariogram,pairwise,80,15,0.0244560734290227
Pairwise empirical semivariogram,pairwise,80,16,0.0222211796546148
Pairwise empirical semivariogram,pairwise,80,17,0.0288080116390549
Pairwise empirical semivariogram,pairwise,80,18,0.0479806203906931
Pairwise empirical semivariogram,pairwise,80,19,0.0194111918809385
Pairwise empirical semivariogram,pairwise,80,20,0.023619214310206
Pairwise empirical semivariogram,pairwise,80,21,0.0422671357205004
Pairwise empirical semivariogram,pairwise,80,22,0.0226550899951151
Pairwise empirical semivariogram,pairwise,80,23,0.0159506116841549
Pairwise empirical semivariogram,pairwise,80,24,0.027051657676012
Pairwise empirical semivariogram,pairwise,80,25,0.0247999890970726
Pairwise empirical semivariogram,pairwise,80,26,0.050921758818867
Pairwise empirical semivariogram,pairwise,80,27,0.0190747104238878
Pairwise empirical semivariogram,pairwise,80,28,0.0432053307850063
