method,eqid,log_likelihood,n,fit_success,nearest_psd_used,min_eigenvalue_before_repair,n_observations
LMC block MLE,175,-886.4029463812719,2475.0,,,,
LMC block MLE,176,-1628.903484886712,3006.0,,,,
LMC block MLE,177,-215.52068409364847,558.0,,,,
LMC block MLE,179,-611.0937079093472,873.0,,,,
LMC block MLE,180,-2171.1534588732043,4176.0,,,,
LMC block MLE,274,-263.1941358684609,405.0,,,,
LMC block MLE,278,-2296.4176342354804,4851.0,,,,
LMC block MLE,279,-1718.7660927017926,2907.0,,,,
LMC block MLE,280,-1225.412192285162,2556.0,,,,
LMC block MLE,281,-416.4538584390393,603.0,,,,
LMC block MLE,346,-411.352066837978,549.0,,,,
LMC semivariogram,278,-2391.7191235804694,,True,False,0.0009072955992893,4851.0
LMC semivariogram,180,-2301.2057432815723,,True,False,0.0011700648788327,4176.0
LMC semivariogram,137,-1220.162193276178,,True,False,0.0012590548872898,3186.0
LMC semivariogram,176,-1738.0194427125564,,True,False,0.0010594249455186,3006.0
LMC semivariogram,279,-1794.3870319068546,,True,False,0.0009568091890777,2907.0
LMC semivariogram,280,-1237.0958177940297,,True,False,0.0007066869851032,2556.0
LMC semivariogram,175,-898.0489075104507,,True,False,0.0012985968560487,2475.0
LMC semivariogram,174,-962.6738998114274,,True,False,0.0012977731559623,2241.0
LMC semivariogram,172,-899.6987886607551,,True,False,0.0013952813912825,2115.0
LMC semivariogram,173,-752.8551574792409,,True,False,0.001296614373471,2097.0
LMC semivariogram,1018,-700.5469729985971,,True,False,0.0005098538502277,1161.0
LMC semivariogram,1014,-480.0248783990137,,True,False,0.0009537117844434,1143.0
LMC semivariogram,158,-467.5158963274701,,True,False,0.0013385989529781,1098.0
LMC semivariogram,1012,-484.5787832594296,,True,False,0.000922314490817,1062.0
LMC semivariogram,1016,-493.211449118158,,True,False,0.0021384203201125,990.0
LMC semivariogram,179,-697.5392444539309,,True,False,0.000679857286334,873.0
LMC semivariogram,1019,-431.9894356478203,,True,False,0.0009226821955872,864.0
LMC semivariogram,1015,-408.8748032121189,,True,False,0.0009539898869134,810.0
LMC semivariogram,1066,-429.033753869192,,True,False,0.0027383261721395,792.0
LMC semivariogram,1006,-424.4463582772423,,True,False,0.0027880813639775,783.0
LMC semivariogram,1038,-343.3781672643752,,True,False,0.0021357243403331,711.0
LMC semivariogram,1064,-447.9244327940178,,True,False,0.0026744372762958,693.0
LMC semivariogram,1007,-364.4659684495367,,True,False,0.0020608525742607,684.0
LMC semivariogram,163,-305.58153414935225,,True,False,0.0022678634553466,621.0
LMC semivariogram,125,-227.9044519954969,,True,False,0.0012582078636548,603.0
LMC semivariogram,281,-410.3085831444833,,True,False,0.0011683966023212,603.0
LMC semivariogram,1002,-228.3356372777835,,True,False,0.0018521286876382,585.0
LMC semivariogram,170,-285.3925573820911,,True,False,0.0009531354545473,558.0
LMC semivariogram,177,-221.99021019805397,,True,False,0.000851712735702,558.0
LMC semivariogram,346,-394.2758679295396,,True,False,0.0014358624857523,549.0
LMC semivariogram,118,-350.91161365615227,,True,False,0.0008964956661901,549.0
LMC semivariogram,127,-299.26011331463945,,True,False,0.0007040460727598,522.0
LMC semivariogram,1068,-348.47059635899075,,True,False,0.0030122975391479,459.0
LMC semivariogram,1075,-225.86637132768016,,True,False,0.0032909388307233,441.0
LMC semivariogram,1011,-238.65664615310695,,True,False,0.0011350803220467,423.0
LMC semivariogram,274,-325.9290697919485,,True,False,0.0010965832658482,405.0
LMC semivariogram,1031,-171.5715136675012,,True,False,0.0021542670246998,387.0
LMC semivariogram,1128,-239.00217941610828,,True,False,0.0026765648978728,378.0
LMC semivariogram,1003,-173.973750983383,,True,False,0.0024116150345549,369.0
LMC semivariogram,1045,-243.00406602551632,,True,False,0.0017368599745863,360.0
LMC semivariogram,1001,-189.0630231450722,,True,False,0.0021844715076783,351.0
