method,eqid,n_stations,n_observations,log_likelihood,fit_success,nearest_psd_used,min_eigenvalue_before_repair
PCA semivariogram,1007,107,929,-562.345741851024,True,False,0.0013565053211388
PCA MLE,1007,107,929,-570.6997580932345,True,False,0.0017767047360237
Kronecker semivariogram,1007,107,929,-526.0101945765721,True,False,0.0010929345308387
LMC block MLE,1007,107,929,-506.7301640141501,True,False,0.0031383948439229
LMC semivariogram,1007,107,929,-526.6268335551072,True,False,0.0028747046310454
PCA semivariogram,113,106,808,-501.88596922368106,True,False,0.0003473704148298
PCA MLE,113,106,808,-478.115736628372,True,False,0.0014413682312856
Kronecker semivariogram,113,106,808,-527.4765529650786,True,False,0.0005084943886362
LMC block MLE,113,106,808,-446.2352527155402,True,False,0.002600755576681
LMC semivariogram,113,106,808,-436.90010369647706,True,False,0.0026723973267895
PCA semivariogram,1066,106,935,-510.6444533785945,True,False,0.0030130461526867
PCA MLE,1066,106,935,-485.9394022255006,True,False,0.0021881259938412
Kronecker semivariogram,1066,106,935,-477.0947950820024,True,False,0.0024825245289991
LMC block MLE,1066,106,935,-470.3148121940888,True,False,0.0040767360020325
LMC semivariogram,1066,106,935,-480.0126781191963,True,False,0.0032532030805442
PCA semivariogram,1035,105,789,-771.7984375551455,True,False,0.0005866130318176
PCA MLE,1035,105,789,-765.736404634811,True,False,0.0015619609253599
Kronecker semivariogram,1035,105,789,-597.7123913528011,True,False,0.0006763280480936
LMC block MLE,1035,105,789,-537.3147042671006,True,False,0.002773558301261
LMC semivariogram,1035,105,789,-584.921790149858,True,False,0.0027398876609581
PCA semivariogram,1059,104,768,-312.505834595891,True,False,0.0010359538856917
PCA MLE,1059,104,768,-299.1600135850184,True,False,0.001714963927287
Kronecker semivariogram,1059,104,768,-321.7290417642729,True,False,0.0009413130081999
LMC block MLE,1059,104,768,-300.5355836382788,True,False,0.0030182973813115
LMC semivariogram,1059,104,768,-299.01580035566246,True,False,0.0028351624461889
PCA semivariogram,1170,104,686,-574.8378203510443,True,False,0.0021960774230947
PCA MLE,1170,104,686,-571.221988897211,True,False,0.0019377449997075
Kronecker semivariogram,1170,104,686,-516.1777939299012,True,False,0.0015129802047308
LMC block MLE,1170,104,686,-437.0167678836754,True,False,0.0034579318095219
LMC semivariogram,1170,104,686,-469.7617059218753,True,False,0.0030039708902246
PCA semivariogram,1046,101,751,-291.09034417401904,True,False,0.0021199837668222
PCA MLE,1046,101,751,-289.1161718149584,True,False,0.0019269709450305
Kronecker semivariogram,1046,101,751,-295.7554847890333,True,False,0.0014881668998553
LMC block MLE,1046,101,751,-291.5024978759127,True,False,0.0034380436898449
LMC semivariogram,1046,101,751,-286.9337525489465,True,False,0.0029926872410959
PCA semivariogram,1079,100,697,-382.4311616755973,True,False,0.0025102446945298
PCA MLE,1079,100,697,-363.4495910374571,True,False,0.00200540806297
Kronecker semivariogram,1079,100,697,-365.91717340472223,True,False,0.0017379096602352
LMC block MLE,1079,100,697,-342.7458561142994,True,False,0.0036114073762923
LMC semivariogram,1079,100,697,-341.06294036066714,True,False,0.0030601223855766
PCA semivariogram,1008,97,762,-190.80662593585365,True,False,0.0025872791410041
PCA MLE,1008,97,762,-194.8447160198888,True,False,0.0020236612153443
Kronecker semivariogram,1008,97,762,-220.52566772149777,True,False,0.0018045142034361
LMC block MLE,1008,97,762,-240.65035319695568,True,False,0.0036548534337688
LMC semivariogram,1008,97,762,-232.0147363833422,True,False,0.0030750222809127
PCA semivariogram,1096,96,664,-325.98612011598067,True,False,0.0021969489461664
PCA MLE,1096,96,664,-309.7319405309897,True,False,0.0019387763478862
Kronecker semivariogram,1096,96,664,-315.1678090182965,True,False,0.0015167482391689
LMC block MLE,1096,96,664,-289.2291735511312,True,False,0.0034604822259944
LMC semivariogram,1096,96,664,-289.2342595574986,True,False,0.0030048890155253
PCA semivariogram,1064,95,829,-551.3835596801597,True,False,0.0030661571517096
PCA MLE,1064,95,829,-527.8101329496938,True,False,0.0022494544086483
Kronecker semivariogram,1064,95,829,-493.7464086364948,True,False,0.0027736561135096
LMC block MLE,1064,95,829,-475.1835600493918,True,False,0.0042463913517184
LMC semivariogram,1064,95,829,-495.5113493427279,True,False,0.0033291933169693
PCA semivariogram,1130,93,617,-358.7808323597327,True,False,0.0025111908667763
PCA MLE,1130,93,617,-340.0131645020501,True,False,0.0020086336475536
Kronecker semivariogram,1130,93,617,-340.0833956061732,True,False,0.0017520677419023
LMC block MLE,1130,93,617,-321.1072195474017,True,False,0.0036254168092918
LMC semivariogram,1130,93,617,-317.7789005923471,True,False,0.0030733435871283
PCA semivariogram,1038,89,788,-373.70918831683167,True,False,0.002678451979914
PCA MLE,1038,89,788,-364.6117694662277,True,False,0.0020547825210912
Kronecker semivariogram,1038,89,788,-374.3238780434282,True,False,0.0019324042952846
LMC block MLE,1038,89,788,-373.6151179539774,True,False,0.0037357901291353
LMC semivariogram,1038,89,788,-376.81160604421535,True,False,0.0031092346856702
PCA semivariogram,1070,88,611,-261.91941619167864,True,False,0.0025428015903243
PCA MLE,1070,88,611,-247.26356815994205,True,False,0.0020093101682633
Kronecker semivariogram,1070,88,611,-259.3803959608787,True,False,0.0017511983930904
LMC block MLE,1070,88,611,-251.47881612833984,True,False,0.0036210667464994
LMC semivariogram,1070,88,611,-248.15331606775223,True,False,0.0030660107146344
PCA semivariogram,1098,88,613,-247.87406945703168,True,False,0.0024879260129759
PCA MLE,1098,88,613,-234.1292473180345,True,False,0.0019993449246387
Kronecker semivariogram,1098,88,613,-235.3954341638858,True,False,0.0017179736777792
LMC block MLE,1098,88,613,-232.46780591634237,True,False,0.0035993384071747
LMC semivariogram,1098,88,613,-226.40425949759677,True,False,0.003060089467467
PCA semivariogram,1069,87,601,-298.03439719036606,True,False,0.0024592358466541
PCA MLE,1069,87,601,-283.96126976232824,True,False,0.0019874850983958
Kronecker semivariogram,1069,87,601,-293.6495980888553,True,False,0.0016700136488632
LMC block MLE,1069,87,601,-276.66729530344526,True,False,0.003566864624944
LMC semivariogram,1069,87,601,-271.461355883555,True,False,0.0030426785632551
PCA semivariogram,1025,86,650,-364.8173183516232,True,False,0.0017429197960665
PCA MLE,1025,86,650,-352.52346294569435,True,False,0.0018577310638353
Kronecker semivariogram,1025,86,650,-325.9530954090752,True,False,0.0013006888564548
LMC block MLE,1025,86,650,-319.2384901112968,True,False,0.0032981621953898
LMC semivariogram,1025,86,650,-327.11177438705647,True,False,0.0029351949042234
PCA semivariogram,1075,86,715,-360.4743098973304,True,False,0.0030666242737168
PCA MLE,1075,86,715,-343.1278073670462,True,False,0.0022502000981186
Kronecker semivariogram,1075,86,715,-346.8957754953359,True,False,0.0027757584401665
LMC block MLE,1075,86,715,-350.4995937733429,True,False,0.0042491830466563
LMC semivariogram,1075,86,715,-353.0394393380135,True,False,0.0033340265171372
PCA semivariogram,1020,85,594,-478.1692357088958,True,False,0.0030857477275338
PCA MLE,1020,85,594,-476.14730835702096,True,False,0.0023147246116515
Kronecker semivariogram,1020,85,594,-369.5821298984166,True,False,0.0030922093466978
LMC block MLE,1020,85,594,-361.716821774722,True,False,0.00443166111496
LMC semivariogram,1020,85,594,-384.3920517477069,True,False,0.0034235559304959
PCA semivariogram,170,85,741,-354.44990399255863,True,False,0.000180108277685
PCA MLE,170,85,741,-336.7155028327721,True,False,0.0013167292289034
Kronecker semivariogram,170,85,741,-381.05864817818593,True,False,0.0003668796920812
LMC block MLE,170,85,741,-360.6193184124122,True,False,0.0024388343189653
LMC semivariogram,170,85,741,-356.07107666814625,True,False,0.0025914956046006
PCA semivariogram,1108,85,590,-1195.7557119029448,True,False,0.0001163955664254
PCA MLE,1108,85,590,-1181.116160818145,True,False,0.0012209455210796
Kronecker semivariogram,1108,85,590,-726.0362439201441,True,False,0.0002859603786578
LMC block MLE,1108,85,590,-669.3616885295232,True,False,0.0023412745238282
LMC semivariogram,1108,85,590,-764.7057637409625,True,False,0.0026079672409665
PCA semivariogram,1113,85,593,-524.2952617471041,True,False,0.0017681629544849
PCA MLE,1113,85,593,-519.5616103300034,True,False,0.0018622295410988
Kronecker semivariogram,1113,85,593,-448.0904745202751,True,False,0.0013113755519691
LMC block MLE,1113,85,593,-396.8886007878083,True,False,0.0033081191714556
LMC semivariogram,1113,85,593,-424.8913230565568,True,False,0.0029536152913513
PCA semivariogram,1152,84,587,-434.2998820397247,True,False,0.0001163955665847
PCA MLE,1152,84,587,-406.4623439119856,True,False,0.0012209455973367
Kronecker semivariogram,1152,84,587,-333.80358274165627,True,False,0.0002859611909644
LMC block MLE,1152,84,587,-317.0772608549489,True,False,0.0023412751034233
LMC semivariogram,1152,84,587,-335.78605007905963,True,False,0.002607967635575
PCA semivariogram,1022,84,634,-160.5641165224754,True,False,0.0025486413743368
PCA MLE,1022,84,634,-153.65555034510783,True,False,0.0020171991380209
Kronecker semivariogram,1022,84,634,-181.04546703471243,True,False,0.0017841425801684
LMC block MLE,1022,84,634,-187.54438074824137,True,False,0.0036411948015128
LMC semivariogram,1022,84,634,-181.32459232422096,True,False,0.0030718424506512
PCA semivariogram,1186,83,636,-261.67567995266216,True,False,0.0030774562683647
PCA MLE,1186,83,636,-254.6147715112033,True,False,0.0022813185382613
Kronecker semivariogram,1186,83,636,-282.18574865329737,True,False,0.0029342772113013
LMC block MLE,1186,83,636,-290.24639668478073,True,False,0.0043434999823385
LMC semivariogram,1186,83,636,-283.1948506540648,True,False,0.0033886951505978
PCA semivariogram,1031,82,678,-231.3828621605885,True,False,0.0024592183536572
PCA MLE,1031,82,678,-231.40180185928824,True,False,0.0019879441161403
Kronecker semivariogram,1031,82,678,-267.7525044988471,True,False,0.0016721012011866
LMC block MLE,1031,82,678,-268.94419554000035,True,False,0.0035682077105986
LMC semivariogram,1031,82,678,-263.4220976520768,True,False,0.0030432452274145
PCA semivariogram,1140,80,548,-570.7386709641887,True,False,0.0030854683630071
PCA MLE,1140,80,548,-574.532421379382,True,False,0.002286165294993
Kronecker semivariogram,1140,80,548,-431.487114939011,True,False,0.002932819252199
LMC block MLE,1140,80,548,-416.1133142747245,True,False,0.004341054241426
LMC semivariogram,1140,80,548,-443.87258381376887,True,False,0.0033727533269098
PCA semivariogram,1137,77,527,-282.21369227099285,True,False,0.002210120808347
PCA MLE,1137,77,527,-271.088678712608,True,False,0.0019426024151485
Kronecker semivariogram,1137,77,527,-282.9680823678019,True,False,0.0015320369675701
LMC block MLE,1137,77,527,-252.3388524061486,True,False,0.0034704412319771
LMC semivariogram,1137,77,527,-252.21159986350472,True,False,0.0030087355679487
PCA semivariogram,1123,77,514,-348.9089649457321,True,False,0.0005373555130837
PCA MLE,1123,77,514,-331.6888727692153,True,False,0.0015389405712831
Kronecker semivariogram,1123,77,514,-306.91678746451294,True,False,0.000643620428277
LMC block MLE,1123,77,514,-280.0500193256504,True,False,0.0027443916858209
LMC semivariogram,1123,77,514,-288.7696789828033,True,False,0.0027758618706622
PCA semivariogram,125,76,672,-245.3271037011253,True,False,0.0011441887129342
PCA MLE,125,76,672,-249.2127825172108,True,False,0.0017288344562632
Kronecker semivariogram,125,76,672,-286.3961024170508,True,False,0.0009909125770253
LMC block MLE,125,76,672,-298.409599525105,True,False,0.0030535236725692
LMC semivariogram,125,76,672,-284.76658452836165,True,False,0.0028394051580702
PCA semivariogram,1032,76,575,-566.9885931843166,True,False,0.0013167209010017
PCA MLE,1032,76,575,-623.4194259532576,True,False,0.0017692668968349
Kronecker semivariogram,1032,76,575,-465.2482294379342,True,False,0.0010807302385758
LMC block MLE,1032,76,575,-436.8568142309014,True,False,0.0031271504555357
LMC semivariogram,1032,76,575,-484.3478783972166,True,False,0.0028720141966353
PCA semivariogram,281,76,673,-464.6932738757053,True,False,0.0009633778638002
PCA MLE,281,76,673,-460.4158052413681,True,False,0.0016823379975093
Kronecker semivariogram,281,76,673,-491.8949068797252,True,False,0.0008947673171578
LMC block MLE,281,76,673,-459.29953082045415,True,False,0.0029718621381493
LMC semivariogram,281,76,673,-445.492069605143,True,False,0.0028069324316443
PCA semivariogram,346,76,666,-463.2912959401247,True,False,0.0015555270256293
PCA MLE,346,76,666,-452.5462218705831,True,False,0.0018174755664377
Kronecker semivariogram,346,76,666,-476.298372399109,True,False,0.0011851082832622
