eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
76,68,68,27,42,42,35.87,-120.334,-0.2734303903486674,-0.3386945066762219,-0.5353119532431809,-0.4187282274970568,0.2719469511325866,-0.1000743316358665,-0.4731057678265281,0.0489297029080879,
76,69,69,28,42,42,35.796,-120.411,1.2537826621610453,1.135000728045249,0.8831150877930799,0.8558137723874192,1.7623345529819845,0.4920823139239181,0.945187708122958,-0.0148359306606923,
76,70,70,29,42,42,35.785,-120.444,0.0511644865100662,0.0158720201697403,-0.0090733621991403,0.1779373263306064,0.0084380223978405,-0.4257125621332294,-0.2697139065610934,-0.0429111082395677,
76,71,71,30,42,42,35.77,-120.477,-0.1113779197998299,-0.1572930913434787,-0.126616327856555,0.3154781103914931,0.79207030810193,-0.0269552592152889,0.6204799547770323,-0.1998499394135956,
76,72,72,31,42,42,35.738,-120.507,-0.4533257802028714,-0.3275873782016407,0.2162410774930752,0.0682571945006359,-0.1477269857895251,-0.4135683463626743,-0.4120129951000711,-0.1428219941751134,
76,73,73,32,42,42,35.81,-120.282,0.0135049523010364,-0.0872968627720124,-0.2829885869080774,-0.3253688087299887,0.193341898234827,0.1146501170575992,-0.1194617010448423,-0.1982897794582195,
76,74,74,33,42,42,35.833,-120.27,0.8465705510561633,0.7197436827016065,0.5209201933146599,1.2771146118182797,0.7422451141843472,0.0420396918699214,-0.3935082714405353,-0.2737681314973619,
76,75,75,34,42,42,35.855,-120.281,-0.7420660419813672,-0.7941043031477439,-0.9499506681557546,-0.9261311409783356,-0.2995661163525989,-0.2768480557710136,-0.4500271486288629,-0.3912966885275042,
76,76,76,35,42,42,35.957,-120.481,0.567672618179482,0.4955143009186129,0.355348751821018,0.2411903526080744,0.1131205942439903,0.0822178218124247,1.730812230519919,0.4038550553504345,
76,77,77,36,42,42,35.934,-120.497,-0.8532643942550968,-0.8359129514242887,-0.917583623878751,-0.8783915456855852,-1.1914081494841395,-1.0474485209739075,0.1561724041518158,0.4878849566716587,
76,78,78,37,42,42,35.927,-120.509,-0.5605362980139008,-0.5894976701125993,-0.5421648607369551,-0.737150483630975,0.0707686355679363,-1.2969148137119797,-0.6707112622824349,-0.3787277804582453,
76,79,79,38,42,42,35.922,-120.534,0.1126598337279064,0.0996895246185239,0.0787172855980198,-0.1549973997078395,-0.6027553011644999,0.8289571276546087,0.8481848897544453,-0.3768094095866388,
76,80,80,39,42,42,35.905,-120.55,-1.3468098194954552,-1.349463015549591,-1.4900548905287994,-1.339491417272631,-1.4385902175423195,-0.3411875383043724,-0.2528345476917319,-0.8059761063607357,
76,81,81,40,42,42,35.861,-120.6,-0.4335739138874497,-0.4571786480651584,-0.2468038363401174,0.4236654160765005,-0.7140581703724421,-0.445485438369328,-0.0735086166979866,-0.3325480755342369,
76,82,82,41,42,42,36.034,-120.59,0.8610672157825872,0.6952620158895321,0.4715851395436573,0.2160083781232755,0.895705956532842,1.2184261211349494,1.5806450943040586,0.0353257701090262,
113,184,184,0,106,80,33.736,-118.269,-1.2779033759745166,-1.2437299495281398,-1.5193756240297922,-1.857056972357385,-0.3495522070746996,-0.1679610729808895,0.5724987615391544,1.660420151162251,
113,178,178,1,106,80,34.221,-118.421,1.4991176496447085,1.402798554255083,1.1745809282101478,1.3299636072716725,1.7190375969050091,0.9029367706995874,0.144554939924598,-0.8403495349773896,
