Unnamed: 0,recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca1_normalized,pca2_normalized,pca3_normalized,pca4_normalized,pca5_normalized,pca6_normalized,pca7_normalized,pca8_normalized,pca9_normalized
4766,10185,1016,4.34,CALIFORNIA,-117.317,34.093,196.95329836003148,2.1092914623417256,267.92,0.7668159269197189,0.7870592332174722,0.822305781767916,0.903215991361884,0.5868988868601059,0.6851985700207015,0.1083959953152685,1.874508100749822,0.8396619536749343,2.2657542141237563,0.7791903396311256,0.8610174568751834,-0.2275932641896342,0.7893594790653807,0.5138085650574722,0.128690052461144,0.0332652488088974,0.0124840134147689,0.9394808702468032,0.598957750877683,0.9847056844673812,-0.4171551488978572,1.7722540210635251,1.4862277638720711,0.4545259890272237,0.1927493253344069,0.2339538532538789
4767,10189,1016,4.34,CALIFORNIA,-118.08016,36.43988,185.103366289004,0.5443521404230659,580.0,1.537938742674975,1.5086627353853457,2.073327549299405,2.3426061388866346,0.5834640503288109,-1.644025234200761,-1.7036389591298569,-1.23708785448812,-0.0651574774336569,1.5856758083225737,-3.4044128432481457,2.5998114406095243,0.1476391186872652,-0.174797246439422,-0.4884528420418563,-0.0191845193097507,-0.0625450928762995,-0.1002765363585902,0.6574905958669116,-2.616946535318099,2.9732836235428906,0.2706073870789872,-0.3924512609133296,-1.4128845343471932,-0.0677586374899425,-0.3624059607712921,-1.87920993775054
4768,10191,1016,4.34,CALIFORNIA,-118.33383,34.25353,113.00386307341836,2.414607260756501,434.29,-0.7698033334436134,-0.8119259076232055,-1.0301125759068883,-0.9608482953419812,0.13278185703338,-0.2507785140881523,-0.7931548430953954,-1.2953324768999417,-1.400064003432916,-2.074992625560109,-1.0671547729972155,-1.1063470525471133,0.6128494261728743,0.3440829112245097,0.0083334385980153,-0.0358965234685829,-0.0418115014277025,0.0103113360078685,-0.8603827659086206,-0.8203138439516451,-1.265277751267246,1.1232902455939884,0.7725280295853303,0.0241050629654416,-0.1267844912653441,-0.2422690038396069,0.1932372796381646
4769,10192,1016,4.34,CALIFORNIA,-116.57794,33.93597,264.9144185744651,2.027942755560639,396.06,-0.3923549770023186,-0.3470736907771353,-0.0808689215074007,-0.4017943744122994,-0.920086669498388,-0.8777261333464286,-0.4445124136769728,1.407195977582942,1.3870278537364695,-0.6155187650441758,1.5367348738915758,1.6710263006524837,-0.3377906615092609,0.2339412559081753,0.0968984290088362,-0.2241318548468653,0.0945717350969411,-0.0206207914559734,-0.2552210215178064,1.1812765340457645,1.9110751866968636,-0.6191356945467072,0.5252402010384603,0.2802855874004565,-0.7916210386776926,0.5479784095516538,-0.3864393170678865
4770,10193,1016,4.34,CALIFORNIA,-117.009,33.65,248.5750168196964,2.21648540352609,576.04,-0.3025724899125738,-0.2446928174079143,0.3235192730880349,0.142956760518388,-1.0508140543245064,-1.2272507773443555,-0.4854747280287051,-1.369306412925421,-1.001393074523757,-1.4336487499312376,-1.631876922327539,0.3675923136892206,-0.7337009467109753,-0.635568609075789,-0.3533264080958776,-0.0636599187959222,0.1657601095155093,-0.0398667712592288,-0.5944535231658067,-1.254411510760283,0.420398260181576,-1.344798708175721,-1.4269658539224597,-1.0220217278054702,-0.2248432337910951,0.9604662649607526,-0.7471142847262146
4771,10194,1016,4.34,CALIFORNIA,-118.45505,34.10618,119.4818148527014,2.5758123028486715,668.72,-0.2104782198871055,-0.3036456242111748,-0.5270636073305687,-0.6240765322039669,0.5339085075349476,0.4008656831724785,-0.0171534747911333,-0.1861675622394071,0.3461073621152587,-0.2267046528433151,0.4147475741293742,-0.4890183032539175,0.8768062312561518,0.045608899193933,0.0086703957898084,-0.0849566839389941,0.0019409947878046,-0.0226704010644964,-0.0940016720324651,0.3188133393698222,-0.5592675260851675,1.6070960415131996,0.1024001828526008,0.0250797355725889,-0.3000622041358152,0.0112467349327888,-0.4248495662120324
4772,10195,1016,4.34,CALIFORNIA,-118.09624,33.84822,161.82453869981742,2.495304650018586,258.1,0.8171638571333667,1.0475733371236988,1.6564823609349333,0.9364174623649876,0.0944307241167196,0.8885698184634493,0.5523691216383518,0.3181411374578294,-0.0300074175519372,2.2129454538744966,-0.5800197833751678,0.1133741334228512,-0.6964319476146982,-0.3699684292336386,0.456794435359578,-0.1666263194418673,0.4680975513996933,0.0729239387378552,0.9175840467845036,-0.4458568429883467,0.1296607319185037,-1.2764884489831307,-0.8306456738217799,1.3213103447151224,-0.5885147390482897,2.7123045957451613,1.3666147171860268
4773,10196,1016,4.34,CALIFORNIA,-116.631,33.567,282.18317503806355,2.1649833826788627,361.0,1.4439514369570088,1.4553215872225047,1.5571569297756127,1.177755239186263,0.1554872114086651,1.356594854603802,0.9796585080660086,0.3063591604417826,-0.1447350144255868,2.938175739373554,-0.6546092431317325,-0.2789218038179835,-0.8423042771630059,-0.5456598885807895,0.5467131551389822,-0.2157916725573313,-0.0120889511938003,-0.0215102617965207,1.2182962668050186,-0.503193199437688,-0.3189899154173355,-1.5438574924803905,-1.225104603564634,1.5814066274873548,-0.7621639863933887,-0.0700471894856941,-0.4031082364780426
4774,10201,1016,4.34,CALIFORNIA,-117.99106,34.88303,106.8329606197034,1.7049928787644524,617.51,-1.7175067905166723,-1.7129106146071724,-1.3722820978020471,-0.739405122648582,-1.8056928453014065,-1.161166905339715,-1.40524780785113,-1.1878804712295654,-0.2837736936768296,-3.790949170397726,-0.1995953158536553,0.4753617230612475,0.0358374262092097,-0.5503888396657344,0.3418392541518762,0.5556975529689115,0.0342672073343767,-0.0268347723443497,-1.571893457580532,-0.153427417395885,0.5436491294560081,0.0656863326761836,-1.2357219493975231,0.9887943192325168,1.962692337385323,0.1985549885028588,-0.5028910321198523
4775,10204,1016,4.34,CALIFORNIA,-119.98803,34.72832,83.12831259337243,-1.962665589549804,489.0,-0.0859876818142285,-0.1841442175429507,-0.339172273481446,-0.3091556703109781,0.6648981648154195,0.6978141465166028,0.7831824021200626,-0.945867363885672,-1.3515823633012902,-0.0436597550884645,-0.7895529885169355,-1.9174082154010008,0.1253404507869957,-0.0205721297229025,-0.2804068233545388,0.1127521431266307,0.0483414945479555,-0.0214096815478833,-0.0181032454666032,-0.6069234411000721,-2.192850741960655,0.2297362120849407,-0.0461881317576914,-0.8110966503683559,0.398234194403213,0.2801058399804642,-0.4012233348884525
4776,10205,1016,4.34,CALIFORNIA,-118.918,34.397,72.00961767164809,2.841889444957832,420.48,0.0457525038123993,-0.0429829417912958,-0.2784535065959683,-0.2289938036742031,0.554347878654562,1.1627625301524376,0.4319286761867259,-0.2373043455092916,-0.4513512624251516,0.4403582231004964,-0.0329831971676021,-1.3027987976007818,0.3836663996220167,0.0222462190512682,0.3519855942038555,0.1049071068532929,-0.0105810470428482,-0.0121054446688374,0.1825917939730215,-0.0253539354730893,-1.489950489936152,0.7032212250713729,0.049946763436288,1.018143328401432,0.3705259698520578,-0.0613099180636559,-0.2268593705831553
